Ft,MaxFt,MaxDepth,NumTrees,LR,Accuracy,MacroPrecision,MicroPrecision,MacroRecall,MicroRecall,MacroF1,MicroF1,MacroAUC,MicroAUC,Hamming,Time
ecfp,auto,3,200,0.2,0.789154,0.7713883572090401,0.7891542930923175,0.6718888719915693,0.7891542930923175,0.7069743694838933,0.7891542930923177,0.7582918102160632,0.8418657198192383,0.1437486550462664,391.367788
ecfp,auto,3,200,0.5,0.789800,0.7412573667400555,0.7897998708844415,0.7025873655247022,0.7897998708844415,0.7190841595390856,0.7897998708844415,0.7818868790759943,0.8423499031633312,0.14202711426726922,390.007309
ecfp,auto,3,200,0.8,0.781859,0.7272461349520578,0.7818592640413171,0.7029460726103676,0.7818592640413171,0.7136078259241613,0.7818592640413171,0.781713366882541,0.8363944480309876,0.1549386701097482,359.931114
ecfp,auto,3,500,0.2,0.800065,0.7640596908491383,0.8000645577792123,0.707658781995901,0.8000645577792123,0.7305355789950341,0.8000645577792123,0.785328004966198,0.8500484183344094,0.1368624919302776,806.674378
ecfp,auto,3,500,0.5,0.791995,0.7406424299278054,0.791994835377663,0.7135124940143346,0.791994835377663,0.7254321579392813,0.791994835377663,0.789782969316781,0.8439961265332472,0.14460942543576502,1348.104752
ecfp,auto,3,500,0.8,0.786249,0.7310833713163863,0.7862491930277598,0.7124461894537986,0.7862491930277598,0.7205945568517141,0.7862491930277598,0.788701702175518,0.83968689477082,0.14977404777275663,1278.107745
ecfp,log2,3,200,0.2,0.756617,0.7572704825033463,0.7566171723692706,0.6030784594831611,0.7566171723692706,0.6448970992068197,0.7566171723692704,0.7064301013022509,0.8174628792769527,0.17129330751022165,56.618028
ecfp,log2,3,200,0.5,0.777276,0.7415766071538714,0.7772756617172369,0.6685270147001192,0.7772756617172369,0.6959227921729924,0.7772756617172369,0.7559598828080873,0.8329567462879277,0.1549386701097482,60.966361
ecfp,log2,3,200,0.8,0.773467,0.7224728199700127,0.7734667527437056,0.6792129536014789,0.7734667527437056,0.6971519299344491,0.7734667527437056,0.7642657974371257,0.8301000645577793,0.15924252205724124,53.885237
ecfp,log2,3,500,0.2,0.787669,0.7595472857589451,0.7876694641704326,0.676345508521415,0.7876694641704326,0.706806802164166,0.7876694641704326,0.7622688620019384,0.8407520981278245,0.1454701958252636,61.349632
ecfp,log2,3,500,0.5,0.789994,0.7449559863075459,0.7899935442220789,0.7021933062956824,0.7899935442220789,0.7201484486306854,0.7899935442220789,0.7811966126683666,0.8424951581665592,0.1437486550462664,58.544368
