Ft,MaxFt,MaxDepth,NumTrees,Accuracy,MacroPrecision,MicroPrecision,MacroRecall,MicroRecall,MacroF1,MicroF1,MacroAUC,MicroAUC,Hamming,Time
ecfp,auto,2,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,5.754306
ecfp,auto,3,200,0.623757,0.24123717520975715,0.6237572627501614,0.33355335533553354,0.6237572627501614,0.2565097491160682,0.6237572627501614,0.5001706170617062,0.717817947062621,0.2582311168495804,6.195599
ecfp,auto,4,200,0.624726,0.40810489599486827,0.6247256294383474,0.33506479682557,0.6247256294383474,0.25965678176271645,0.6247256294383474,0.5013530851147158,0.7185442220787606,0.25650957607058317,7.291297
ecfp,auto,5,200,0.627566,0.5378682449960259,0.6275661717236926,0.3395929020100464,0.6275661717236926,0.26898904097618276,0.6275661717236926,0.5048819675121419,0.7206746287927694,0.25521842048633525,7.101101
ecfp,auto,2,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,7.500578
ecfp,auto,3,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,9.002857
ecfp,auto,4,500,0.624726,0.4414386859446295,0.6247256294383473,0.33506056807102336,0.6247256294383473,0.2596496735750284,0.6247256294383473,0.5013526060334834,0.7185442220787605,0.2569399612653325,9.929469
ecfp,auto,5,500,0.627308,0.5419807955885052,0.6273079406068431,0.3391677333554439,0.6273079406068431,0.2681360946428626,0.6273079406068431,0.5045556306119634,0.7204809554551325,0.25650957607058317,10.489070
ecfp,log2,2,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,4.990767
ecfp,log2,3,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,5.156843
ecfp,log2,4,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,5.097184
ecfp,log2,5,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,5.611819
ecfp,log2,2,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,5.806288
ecfp,log2,3,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,6.709190
ecfp,log2,4,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,7.073293
ecfp,log2,5,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,6.996608
ecfp,None,2,200,0.638347,0.49861657179436264,0.6383473208521626,0.36634745690378245,0.6383473208521626,0.3236671036651293,0.6383473208521626,0.5258432666144688,0.728760490639122,0.24618033139659995,46.147607
ecfp,None,3,200,0.644287,0.6904775399367016,0.644286636539703,0.3770790437063055,0.644286636539703,0.34384291748199214,0.644286636539703,0.5338832290605067,0.7332149774047771,0.23972455347536045,62.457933
