"Supplementary Table 1: Journal articles included in the data set, showing numbers of compounds and assays extracted from each and ChEMBL document identifiers."						
						
Source	Number compounds	Number assays	Number activities	Protocol 1	Protocol 2	ChEMBL document identifier
"Pest Manag Sci (2011), 67(12), 1549-1556 (PMID:21656898)"	5	11	23	Manual data extraction	Data standardisation and curation	CHEMBL3045127
"J Agric Food Chem (2012), 60(39), 9874-9881 (PMID:22967236)"	1	21	22	Manual data extraction	Data standardisation and curation	CHEMBL3045128
"Med Chem Res (2012), 21(8), 1722-1733 (DOI:10.1007/s00044-011-9691-4)"	15	4	49	Manual data extraction	Data standardisation and curation	CHEMBL3045129
"Med Chem Res (2012), 21(9), 2557-2570 (DOI:10.1007/s00044-011-9779-x)"	61	1	61	Manual data extraction	Data standardisation and curation	CHEMBL3045130
"J Agric Food Chem (2000), 48(4), 1400-1404 (PMID:10775404)"	11	4	100	Manual data extraction	Data standardisation and curation	CHEMBL3045131
"J Agric Food Chem (2005), 53(20), 7886-7891 (PMID:16190646)"	11	12	86	Manual data extraction	Data standardisation and curation	CHEMBL3045132
"Med Chem Res (2013), 22(6), 3012-3025 (DOI:10.1007/s00044-012-0308-3)"	32	1	32	Manual data extraction	Data standardisation and curation	CHEMBL3045133
"Med Chem Res (2012), 21(12), 4369-4380 (DOI:10.1007/s00044-012-9975-3)"	14	13	97	Manual data extraction	Data standardisation and curation	CHEMBL3045134
"Med Chem Res (2012), 21(9), 2145-2152 (DOI:10.1007/s00044-011-9739-5)"	8	12	52	Manual data extraction	Data standardisation and curation	CHEMBL3045135
"Med Chem Res (2012), 21(8), 1665-1676 (DOI:10.1007/s00044-011-9681-6)"	55	1	55	Manual data extraction	Data standardisation and curation	CHEMBL3045136
"Med Chem Res (2011), 20(5), 642-647 (DOI:10.1007/s00044-010-9359-5)"	3	6	9	Manual data extraction	Data standardisation and curation	CHEMBL3045137
"J Pesticide Sci (1995), 20(2), 137-143 (DOI:10.1584/jpestics.20.137)"	15	7	55	Manual data extraction	Data standardisation and curation	CHEMBL3045138
"J Agric Food Chem (2012), 60(20), 5028-5034 (PMID:22546079)"	22	3	66	Manual data extraction	Data standardisation and curation	CHEMBL3045139
"Med Chem Res (2013), 22(9), 4059-4068 (DOI:10.1007/s00044-012-0413-3)"	11	4	64	Manual data extraction	Data standardisation and curation	CHEMBL3045140
"J Pesticide Sci (1992), 17(1), 55-60 (DOI:10.1584/jpestics.17.55)"	11	10	56	Manual data extraction	Data standardisation and curation	CHEMBL3045141
"Biosci. Biotechnol. Biochem. (1992), 56(11), 1835-1838 (DOI:10.1271/bbb.56.1835)"	11	29	107	Manual data extraction	Data standardisation and curation	CHEMBL3045142
"J Agric Food Chem (2011), 59(18), 10162-10168 (PMID:21870840)"	4	35	46	Manual data extraction	Data standardisation and curation	CHEMBL3045143
"Molecules (2005), 10(9), 1197-1208 (PMID:18007386)"	19	4	66	Manual data extraction	Data standardisation and curation	CHEMBL3045144
"Med Chem Res (2013), 22(3), 1497-1503 (DOI:10.1007/s00044-012-0103-1)"	14	5	31	Manual data extraction	Data standardisation and curation	CHEMBL3045145
"Molecules (2010), 15(12), 9024-9034 (PMID:21150822)"	17	6	102	Manual data extraction	Data standardisation and curation	CHEMBL3045146
"Med Chem Res (2013), 22(10), 5066-5075 (DOI:10.1007/s00044-013-0486-7)"	8	28	62	Manual data extraction	Data standardisation and curation	CHEMBL3045147
"J Agric Food Chem (2010), 58(21), 11390-11394 (PMID:20925380)"	9	4	20	Manual data extraction	Data standardisation and curation	CHEMBL3045148
"Biochem Syst Ecol (1992), 20(4), 311-315 (DOI:10.1016/0305-1978(92)90042-C)"	19	6	33	Manual data extraction	Data standardisation and curation	CHEMBL3045149
"Med Chem Res (2013), 22(6), 2633-2644 (DOI:10.1007/s00044-012-0265-x)"	30	3	90	Manual data extraction	Data standardisation and curation	CHEMBL3045150
"Crop Protection (2011), 30(9), 1227-1232 (DOI:10.1016/j.cropro.2011.05.013)"	1	20	20	Manual data extraction	Data standardisation and curation	CHEMBL3045151
"Med Chem Res (2007), 16(7), 352-369 (DOI:10.1007/s00044-007-9035-6)"	31	9	51	Manual data extraction	Data standardisation and curation	CHEMBL3045152
"Med Chem Res (2013), 22(6), 2706-2716 (DOI:10.1007/s00044-012-0268-7)"	17	2	21	Manual data extraction	Data standardisation and curation	CHEMBL3045153
"J Pesticide Sci (1991), 16(3), 387-395 (DOI:10.1584/jpestics.16.387)"	37	3	96	Manual data extraction	Data standardisation and curation	CHEMBL3045154
"J Agric Food Chem (2011), 59(4), 1171-1177 (PMID:21275401)"	18	18	101	Manual data extraction	Data standardisation and curation	CHEMBL3045155
"J Agric Food Chem (2009), 57(11), 4854-4860 (PMID:19422214)"	29	15	205	Manual data extraction	Data standardisation and curation	CHEMBL3045156
"Med Chem Res (2011), 20(7), 854-864 (DOI:10.1007/s00044-010-9399-x)"	25	6	131	Manual data extraction	Data standardisation and curation	CHEMBL3045157
"J Agric Food Chem (2009), 57(4), 1383-1388 (PMID:19199594)"	15	6	50	Manual data extraction	Data standardisation and curation	CHEMBL3045158
"Med Chem Res (2013), 22(3), 1203-1211 (DOI:10.1007/s00044-012-0127-6)"	17	20	293	Manual data extraction	Data standardisation and curation	CHEMBL3045159
"Bioorg. Med. Chem. Lett. (2004), 14(7), 1729-1731 (PMID:15026059)"	3	11	12	Manual data extraction	Data standardisation and curation	CHEMBL3045160
"Crop Protection (2008), 27(3), 689-694 (DOI:10.1016/j.cropro.2007.09.014)"	2	7	10	Manual data extraction	Data standardisation and curation	CHEMBL3045161
"Bioorg. Med. Chem. Lett. (2013), 23(3), 606-609 (PMID:23290051)"	3	19	23	Manual data extraction	Data standardisation and curation	CHEMBL3045162
"Med Chem Res (2012), 21(9), 2661-2670 (DOI:10.1007/s00044-011-9791-1)"	18	14	142	Manual data extraction	Data standardisation and curation	CHEMBL3045163
"Med Chem Res (2012), 21(11), 3369-3375 (DOI:10.1007/s00044-011-9867-y)"	2	30	31	Manual data extraction	Data standardisation and curation	CHEMBL3045164
"Med Chem Res (2012), 21(2), 245-256 (DOI:10.1007/s00044-010-9516-x)"	72	1	72	Manual data extraction	Data standardisation and curation	CHEMBL3045165
"Eur. J. Biochem. (1999), 264(2), 488-494 (PMID:10491095)"	6	1	6	Manual data extraction	Data standardisation and curation	CHEMBL3045166
"Med Chem Res (2010), 19(4), 403-412 (DOI:10.1007/s00044-009-9202-z)"	15	8	36	Manual data extraction	Data standardisation and curation	CHEMBL3045167
"Pest Manag Sci (2013), 69(2), 188-194 (PMID:22847768)"	5	23	28	Manual data extraction	Data standardisation and curation	CHEMBL3045168
"Med Chem Res (2012), 21(2), 229-238 (DOI:10.1007/s00044-010-9530-z)"	15	18	246	Manual data extraction	Data standardisation and curation	CHEMBL3045169
"J Agric Food Chem (2010), 58(5), 2715-2719 (PMID:20014765)"	15	10	105	Manual data extraction	Data standardisation and curation	CHEMBL3045170
"Med Chem Res (2012), 21(7), 983-994 (DOI:10.1007/s00044-011-9606-4)"	21	10	141	Manual data extraction	Data standardisation and curation	CHEMBL3045171
"Pest Manag Sci (2011), 67(11), 1468-1472 (PMID:21594963)"	1	9	9	Manual data extraction	Data standardisation and curation	CHEMBL3045172
"Med Chem Res (2012), 21(12), 4335-4340 (DOI:10.1007/s00044-012-9971-7)"	13	9	96	Manual data extraction	Data standardisation and curation	CHEMBL3045173
"J Pesticide Sci (1998), 23(3), 250-254 (DOI:10.1584/jpestics.23.250)"	17	3	34	Manual data extraction	Data standardisation and curation	CHEMBL3045174
"Med Chem Res (2005), 14(4), 229-240 (DOI:10.1007/s00044-005-0136-9)"	2	6	16	Manual data extraction	Data standardisation and curation	CHEMBL3045175
"Biochem Syst Ecol (2000), 28(10), 1023-1025 (PMID:10996266)"	2	2	4	Manual data extraction	Data standardisation and curation	CHEMBL3045176
"Med Chem Res (2010), 19(4), 364-374 (DOI:10.1007/s00044-009-9196-6)"	1	8	8	Manual data extraction	Data standardisation and curation	CHEMBL3045177
"J Agric Food Chem (2012), 60(13), 3424-3431 (PMID:22409377)"	42	10	194	Manual data extraction	Data standardisation and curation	CHEMBL3045178
"J Pesticide Sci (1997), 22(1), 27-32 (DOI:10.1584/jpestics.22.27)"	53	20	220	Manual data extraction	Data standardisation and curation	CHEMBL3045179
"Med Chem Res (2013), 22(7), 3309-3315 (DOI:10.1007/s00044-012-0328-z)"	17	4	34	Manual data extraction	Data standardisation and curation	CHEMBL3045180
"J Agric Food Chem (2011), 59(7), 2839-2844 (PMID:20958045)"	2	25	32	Manual data extraction	Data standardisation and curation	CHEMBL3045181
"Med Chem Res (2011), 20(8), 1158-1163 (DOI:10.1007/s00044-010-9450-y)"	19	13	122	Manual data extraction	Data standardisation and curation	CHEMBL3045182
"Journal of Saudi Society of Agricultural Sciences (2012), 11(), 73-77 (DOI:10.1016/j.jssas.2011.10.002)"	3	21	39	Manual data extraction	Data standardisation and curation	CHEMBL3045183
"Med Chem Res (2012), 21(5), 559-567 (DOI:10.1007/s00044-011-9570-z)"	55	1	55	Manual data extraction	Data standardisation and curation	CHEMBL3045184
"J Agric Food Chem (2008), 56(17), 8050-8057 (PMID:18693740)"	6	17	21	Manual data extraction	Data standardisation and curation	CHEMBL3045185
"Crop Protection (2006), 25(5), 409-417 (DOI:10.1016/j.cropro.2005.06.007)"	6	9	21	Manual data extraction	Data standardisation and curation	CHEMBL3045186
"Crop Protection (2006), 25(6), 618-622 (DOI:10.1016/j.cropro.2005.09.008)"	14	105	112	Manual data extraction	Data standardisation and curation	CHEMBL3045187
"Med Chem Res (2013), 22(2), 818-831 (DOI:10.1007/s00044-012-0074-2)"	18	7	96	Manual data extraction	Data standardisation and curation	CHEMBL3045188
"Med Chem Res (2010), 19(8), 962-969 (DOI:10.1007/s00044-009-9242-4)"	1	5	5	Manual data extraction	Data standardisation and curation	CHEMBL3045189
"Med Chem Res (2012), 21(9), 2153-2161 (DOI:10.1007/s00044-011-9742-x)"	19	1	19	Manual data extraction	Data standardisation and curation	CHEMBL3045190
"J Agric Food Chem (2004), 52(4), 884-890 (PMID:14969546)"	1	8	8	Manual data extraction	Data standardisation and curation	CHEMBL3045191
"Med Chem Res (2008), 17(2), 137-151 (DOI:10.1007/s00044-007-9044-5)"	2	2	4	Manual data extraction	Data standardisation and curation	CHEMBL3045192
"J Pesticide Sci (2002), 27(1), 53-58 (DOI:10.1584/jpestics.27.53)"	36	14	124	Manual data extraction	Data standardisation and curation	CHEMBL3045193
"Med Chem Res (2012), 21(12), 4219-4229 (DOI:10.1007/s00044-011-9934-4)"	19	2	33	Manual data extraction	Data standardisation and curation	CHEMBL3045194
"Pest Manag Sci (2010), 66(11), 1215-1229 (PMID:20672340)"	92	17	348	Manual data extraction	Data standardisation and curation	CHEMBL3045195
"J Pesticide Sci (1990), 15(1), 63-69 (DOI:10.1584/jpestics.15.63)"	33	5	99	Manual data extraction	Data standardisation and curation	CHEMBL3045196
"Med Chem Res (2010), 19(8), 782-793 (DOI:10.1007/s00044-009-9230-8)"	5	3	15	Manual data extraction	Data standardisation and curation	CHEMBL3045197
"J Pesticide Sci (2000), 25(1), 37-39 (DOI:10.1584/jpestics.25.37)"	15	16	48	Manual data extraction	Data standardisation and curation	CHEMBL3045198
"Med Chem Res (2013), 22(4), 1909-1924 (DOI:10.1007/s00044-012-0192-x)"	7	122	385	Manual data extraction	Data standardisation and curation	CHEMBL3045199
"Med Chem Res (2012), 21(8), 1660-1664 (DOI:10.1007/s00044-011-9682-5)"	13	5	59	Manual data extraction	Data standardisation and curation	CHEMBL3045200
"J Pesticide Sci (1996), 21(1), 23-29 (DOI:10.1584/jpestics.21.23)"	13	12	47	Manual data extraction	Data standardisation and curation	CHEMBL3045201
"Med Chem Res (2013), 22(7), 3518-3526 (DOI:10.1007/s00044-012-0370-x)"	12	4	40	Manual data extraction	Data standardisation and curation	CHEMBL3045202
"Med Chem Res (2012), 21(9), 2251-2262 (DOI:10.1007/s00044-011-9745-7)"	15	24	192	Manual data extraction	Data standardisation and curation	CHEMBL3045203
"Med Chem Res (2011), 20(8), 1170-1180 (DOI:10.1007/s00044-010-9457-4)"	17	5	78	Manual data extraction	Data standardisation and curation	CHEMBL3045204
"J Pesticide Sci (1999), 24(2), 130-137 (DOI:10.1584/jpestics.24.130)"	19	20	97	Manual data extraction	Data standardisation and curation	CHEMBL3045205
"Molecules (2005), 10(9), 1119-1125 (PMID:18007377)"	9	3	27	Manual data extraction	Data standardisation and curation	CHEMBL3045206
"Farmaco (2004), 59(9), 673-678 (PMID:15337431)"	3	12	18	Manual data extraction	Data standardisation and curation	CHEMBL3045207
"J Pesticide Sci (2005), 30(1), 39-43 (DOI:10.1584/jpestics.30.39)"	15	4	51	Manual data extraction	Data standardisation and curation	CHEMBL3045208
"Med Chem Res (2008), 17(2), 369-373 (DOI:10.1007/s00044-007-9072-1)"	2	14	18	Manual data extraction	Data standardisation and curation	CHEMBL3045209
"J Pesticide Sci (2005), 30(4), 406-408 (DOI:10.1584/jpestics.30.406)"	13	3	15	Manual data extraction	Data standardisation and curation	CHEMBL3045210
"Med Chem Res (2012), 21(11), 3491-3498 (DOI:10.1007/s00044-011-9870-3)"	6	27	60	Manual data extraction	Data standardisation and curation	CHEMBL3045211
"Med Chem Res (2011), 20(6), 661-669 (DOI:10.1007/s00044-010-9368-4)"	11	3	15	Manual data extraction	Data standardisation and curation	CHEMBL3045212
"J Agric Food Chem (2006), 54(5), 1651-1655 (PMID:16506815)"	10	23	85	Manual data extraction	Data standardisation and curation	CHEMBL3045213
"J Agric Food Chem (2002), 50(16), 4475-4478 (PMID:12137463)"	4	17	59	Manual data extraction	Data standardisation and curation	CHEMBL3045214
"J Pesticide Sci (2011), 36(4), 467-472 (DOI:10.1584/jpestics.G11-13)"	21	2	32	Manual data extraction	Data standardisation and curation	CHEMBL3045215
"Med Chem Res (2013), 22(6), 2788-2794 (DOI:10.1007/s00044-012-0260-2)"	17	3	51	Manual data extraction	Data standardisation and curation	CHEMBL3045216
"J Agric Food Chem (2008), 56(22), 10793-10798 (PMID:18973341)"	1	110	110	Manual data extraction	Data standardisation and curation	CHEMBL3045217
"J Pesticide Sci (1990), 15(3), 353-356 (DOI:10.1584/jpestics.15.353)"	18	6	108	Manual data extraction	Data standardisation and curation	CHEMBL3045218
"Med Chem Res (2011), 20(3), 321-332 (DOI:10.1007/s00044-010-9323-4)"	39	2	39	Manual data extraction	Data standardisation and curation	CHEMBL3045219
"Med Chem Res (2013), 22(6), 2755-2767 (DOI:10.1007/s00044-012-0270-0)"	18	9	221	Manual data extraction	Data standardisation and curation	CHEMBL3045220
"Med Chem Res (2007), 16(7), 461-467 (DOI:10.1007/s00044-007-9086-8)"	17	1	17	Manual data extraction	Data standardisation and curation	CHEMBL3045221
"Med Chem Res (2013), 22(2), 900-904 (DOI:10.1007/s00044-012-0083-1)"	7	4	28	Manual data extraction	Data standardisation and curation	CHEMBL3045222
"Chem Pharm Bull (Tokyo) (2009), 57(7), 685-693 (PMID:19571412)"	22	32	626	Manual data extraction	Data standardisation and curation	CHEMBL3045223
"Biosci. Biotechnol. Biochem. (2004), 68(3), 753-756 (PMID:15056914)"	5	1	5	Manual data extraction	Data standardisation and curation	CHEMBL3045224
"J Agric Food Chem (2011), 59(5), 1653-1657 (PMID:21314138)"	9	17	129	Manual data extraction	Data standardisation and curation	CHEMBL3045225
"Med Chem Res (2012), 21(8), 1887-1891 (DOI:10.1007/s00044-011-9712-3)"	8	2	16	Manual data extraction	Data standardisation and curation	CHEMBL3045226
"Med Chem Res (2013), 22(10), 5056-5065 (DOI:10.1007/s00044-013-0521-8)"	10	7	70	Manual data extraction	Data standardisation and curation	CHEMBL3045227
"Med Chem Res (2011), 20(9), 1573-1580 (DOI:10.1007/s00044-010-9413-3)"	47	1	94	Manual data extraction	Data standardisation and curation	CHEMBL3045228
"Appl Entomol Zool (2010), 45(3), 425-433 (DOI:10.1303/aez.2010.425)"	12	4	45	Manual data extraction	Data standardisation and curation	CHEMBL3045229
"Med Chem Res (2013), 22(2), 938-948 (DOI:10.1007/s00044-012-0092-0)"	24	11	220	Manual data extraction	Data standardisation and curation	CHEMBL3045230
"Pest Manag Sci (2009), 65(8), 900-905 (PMID:19418526)"	11	10	110	Manual data extraction	Data standardisation and curation	CHEMBL3045231
"J Agric Food Chem (2007), 55(10), 4217-4221 (PMID:17432876)"	4	27	30	Manual data extraction	Data standardisation and curation	CHEMBL3045232
"J Agric Food Chem (2007), 55(3), 812-818 (PMID:17263479)"	17	3	50	Manual data extraction	Data standardisation and curation	CHEMBL3045233
"Med Chem Res (2010), 19(8), 808-816 (DOI:10.1007/s00044-009-9232-6)"	9	5	37	Manual data extraction	Data standardisation and curation	CHEMBL3045234
"Med Chem Res (2012), 21(7), 995-999 (DOI:10.1007/s00044-011-9609-1)"	3	29	43	Manual data extraction	Data standardisation and curation	CHEMBL3045235
"Med Chem Res (2012), 21(7), 1480-1490 (DOI:10.1007/s00044-011-9670-9)"	14	7	91	Manual data extraction	Data standardisation and curation	CHEMBL3045236
"Med Chem Res (2013), 22(3), 1386-1398 (DOI:10.1007/s00044-012-0133-8)"	3	18	34	Manual data extraction	Data standardisation and curation	CHEMBL3045237
"J Pesticide Sci (1990), 15(4), 539-551 (DOI:10.1584/jpestics.15.539)"	66	3	155	Manual data extraction	Data standardisation and curation	CHEMBL3045238
"Med Chem Res (2012), 21(7), 1471-1479 (DOI:10.1007/s00044-011-9669-2)"	13	9	75	Manual data extraction	Data standardisation and curation	CHEMBL3045239
"J. Med. Chem. (1987), 30(4), 710-716 (PMID:2435905)"	20	12	57	Manual data extraction	Data standardisation and curation	CHEMBL3045240
"Med Chem Res (2009), 18(7), 589-610 (DOI:10.1007/s00044-008-9152-x)"	7	3	13	Manual data extraction	Data standardisation and curation	CHEMBL3045241
"Agric Biol Chem (1991), 55(12), 2999-3004 (DOI:10.1271/bbb1961.55.2999)"	29	13	61	Manual data extraction	Data standardisation and curation	CHEMBL3045242
"Med Chem Res (2011), 20(1), 101-108 (DOI:10.1007/s00044-009-9292-7)"	13	8	104	Manual data extraction	Data standardisation and curation	CHEMBL3045243
"Med Chem Res (2012), 21(5), 653-662 (DOI:10.1007/s00044-011-9573-9)"	14	20	133	Manual data extraction	Data standardisation and curation	CHEMBL3045244
"Med Chem Res (2012), 21(12), 4200-4213 (DOI:10.1007/s00044-011-9965-x)"	13	21	273	Manual data extraction	Data standardisation and curation	CHEMBL3045245
"Med Chem Res (2012), 21(8), 1833-1849 (DOI:10.1007/s00044-011-9701-6)"	66	3	155	Manual data extraction	Data standardisation and curation	CHEMBL3045246
"Med Chem Res (2004), 13(6), 427-438 (DOI:10.1007/s00044-004-0046-2)"	1	42	42	Manual data extraction	Data standardisation and curation	CHEMBL3045247
"J Agric Food Chem (2006), 54(10), 3636-3640 (PMID:19127737)"	14	5	70	Manual data extraction	Data standardisation and curation	CHEMBL3045248
"J Agric Food Chem (2011), 59(23), 12534-12542 (PMID:22029402)"	2	13	16	Manual data extraction	Data standardisation and curation	CHEMBL3045249
"Med Chem Res (2005), 14(1), 1-18 (DOI:10.1007/s00044-004-0121-8)"	17	3	17	Manual data extraction	Data standardisation and curation	CHEMBL3045250
"J Agric Food Chem (2008), 56(14), 5781-5787 (PMID:18570435)"	1	15	15	Manual data extraction	Data standardisation and curation	CHEMBL3045251
"J Agric Food Chem (2011), 59(24), 13089-13095 (PMID:22066904)"	8	9	32	Manual data extraction	Data standardisation and curation	CHEMBL3045252
"Med Chem Res (2010), 19(3), 220-235 (DOI:10.1007/s00044-009-9186-8)"	13	5	65	Manual data extraction	Data standardisation and curation	CHEMBL3045253
"Med Chem Res (2012), 21(5), 590-600 (DOI:10.1007/s00044-011-9554-z)"	42	1	103	Manual data extraction	Data standardisation and curation	CHEMBL3045254
"Med Chem Res (2012), 21(7), 1322-1333 (DOI:10.1007/s00044-011-9647-8)"	45	1	45	Manual data extraction	Data standardisation and curation	CHEMBL3045255
"J Agric Food Chem (2011), 59(23), 12543-12549 (PMID:22044426)"	15	21	186	Manual data extraction	Data standardisation and curation	CHEMBL3045256
"Fitoterapia (2012), 83(3), 523-526 (PMID:22233864)"	8	8	48	Manual data extraction	Data standardisation and curation	CHEMBL3045257
"Med Chem Res (2005), 14(2), 57-73 (DOI:10.1007/s00044-005-0125-z)"	23	6	93	Manual data extraction	Data standardisation and curation	CHEMBL3045258
"Med Chem Res (2013), 22(8), 3653-3662 (DOI:10.1007/s00044-012-0376-4)"	23	9	128	Manual data extraction	Data standardisation and curation	CHEMBL3045259
"Med Chem Res (2012), 21(12), 4301-4310 (DOI:10.1007/s00044-011-9954-0)"	20	15	280	Manual data extraction	Data standardisation and curation	CHEMBL3045260
"Med Chem Res (2009), 18(9), 712-724 (DOI:10.1007/s00044-009-9162-3)"	79	2	80	Manual data extraction	Data standardisation and curation	CHEMBL3045261
"J Pesticide Sci (1992), 17(1), 7-16 (DOI:10.1584/jpestics.17.7)"	55	6	216	Manual data extraction	Data standardisation and curation	CHEMBL3045262
"Med Chem Res (2013), 22(2), 659-673 (DOI:10.1007/s00044-012-0051-9)"	8	1	8	Manual data extraction	Data standardisation and curation	CHEMBL3045263
"Med Chem Res (2012), 21(10), 2961-2968 (DOI:10.1007/s00044-011-9829-4)"	10	8	72	Manual data extraction	Data standardisation and curation	CHEMBL3045264
"J Pesticide Sci (1998), 23(1), 44-48 (DOI:10.1584/jpestics.23.44)"	46	10	58	Manual data extraction	Data standardisation and curation	CHEMBL3045265
"J Agric Food Chem (2003), 51(7), 1880-1883 (PMID:12643645)"	8	4	17	Manual data extraction	Data standardisation and curation	CHEMBL3045266
"Pest Manag Sci (2009), 65(10), 1104-1113 (PMID:19551813)"	15	5	35	Manual data extraction	Data standardisation and curation	CHEMBL3045267
"Med Chem Res (2013), 22(10), 4909-4919 (DOI:10.1007/s00044-013-0478-7)"	9	16	72	Manual data extraction	Data standardisation and curation	CHEMBL3045268
"Med Chem Res (2013), 22(1), 22-27 (DOI:10.1007/s00044-012-0001-6)"	2	20	20	Manual data extraction	Data standardisation and curation	CHEMBL3045269
"J Pesticide Sci (2000), 25(1), 24-30 (DOI:10.1584/jpestics.25.24)"	41	16	110	Manual data extraction	Data standardisation and curation	CHEMBL3045270
"J Pesticide Sci (2012), 37(1), 85-88 (DOI:10.1584/jpestics.D11-014)"	20	9	180	Manual data extraction	Data standardisation and curation	CHEMBL3045271
"J Agric Food Chem (2008), 56(15), 6562-6566 (PMID:18598043)"	25	25	159	Manual data extraction	Data standardisation and curation	CHEMBL3045272
"Med Chem Res (2013), 22(1), 225-233 (DOI:10.1007/s00044-012-0004-3)"	13	23	238	Manual data extraction	Data standardisation and curation	CHEMBL3045273
"Tetrahedron (2005), 61(35), 8382-8389 (DOI:10.1016/j.tet.2005.06.099)"	8	1	8	Manual data extraction	Data standardisation and curation	CHEMBL3045274
"Med Chem Res (2013), 22(6), 2840-2846 (DOI:10.1007/s00044-012-0278-5)"	11	12	126	Manual data extraction	Data standardisation and curation	CHEMBL3045275
"J Agric Food Chem (2010), 58(9), 5515-5522 (PMID:20384340)"	24	9	195	Manual data extraction	Data standardisation and curation	CHEMBL3045276
"Med Chem Res (2011), 20(7), 975-980 (DOI:10.1007/s00044-010-9430-2)"	8	6	36	Manual data extraction	Data standardisation and curation	CHEMBL3045277
"Med Chem Res (2010), 19(3), 250-261 (DOI:10.1007/s00044-009-9188-6)"	18	17	155	Manual data extraction	Data standardisation and curation	CHEMBL3045278
"J Pesticide Sci (1992), 17(4), 205-211 (DOI:10.1584/jpestics.17.4_205)"	3	16	32	Manual data extraction	Data standardisation and curation	CHEMBL3045279
"J Agric Food Chem (2010), 58(10), 6296-6299 (PMID:20423095)"	23	2	45	Manual data extraction	Data standardisation and curation	CHEMBL3045280
"Med Chem Res (2006), 15(9), 492-510 (DOI:10.1007/s00044-007-9004-0)"	7	2	14	Manual data extraction	Data standardisation and curation	CHEMBL3045281
"J Agric Food Chem (2008), 56(15), 6304-6309 (PMID:18598037)"	6	2	11	Manual data extraction	Data standardisation and curation	CHEMBL3045282
"Med Chem Res (2008), 17(2), 318-325 (DOI:10.1007/s00044-007-9067-y)"	3	4	12	Manual data extraction	Data standardisation and curation	CHEMBL3045283
"Crop Protection (2009), 28(11), 940-946 (DOI:10.1016/j.cropro.2009.07.006)"	2	32	46	Manual data extraction	Data standardisation and curation	CHEMBL3045284
"J Agric Food Chem (2010), 58(23), 12327-12336 (PMID:21047132)"	50	16	226	Manual data extraction	Data standardisation and curation	CHEMBL3045285
"J Agric Food Chem (2002), 50(23), 6766-6774 (PMID:12405773)"	26	1	26	Manual data extraction	Data standardisation and curation	CHEMBL3045286
"Med Chem Res (2012), 21(8), 2072-2078 (DOI:10.1007/s00044-011-9732-z)"	7	2	14	Manual data extraction	Data standardisation and curation	CHEMBL3045287
"J Pesticide Sci (2008), 33(1), 9-13 (DOI:10.1584/jpestics.R07-05)"	38	12	104	Manual data extraction	Data standardisation and curation	CHEMBL3045288
"J Agric Food Chem (2007), 55(5), 1871-1880 (PMID:17288442)"	58	1	58	Manual data extraction	Data standardisation and curation	CHEMBL3045289
"Med Chem Res (2013), 22(8), 3621-3628 (DOI:10.1007/s00044-012-0380-8)"	19	12	228	Manual data extraction	Data standardisation and curation	CHEMBL3045290
"Med Chem Res (2013), 22(7), 3247-3258 (DOI:10.1007/s00044-012-0334-1)"	28	8	152	Manual data extraction	Data standardisation and curation	CHEMBL3045291
"J Agric Food Chem (2005), 53(20), 7908-7914 (PMID:16190649)"	20	62	376	Manual data extraction	Data standardisation and curation	CHEMBL3045292
"J Agric Food Chem (2011), 59(10), 5528-5534 (PMID:21517077)"	2	21	37	Manual data extraction	Data standardisation and curation	CHEMBL3045293
"Med Chem Res (2011), 20(2), 261-268 (DOI:10.1007/s00044-010-9313-6)"	24	17	182	Manual data extraction	Data standardisation and curation	CHEMBL3045294
"Molecules (2011), 16(4), 2785-2795 (PMID:21448090)"	5	1	5	Manual data extraction	Data standardisation and curation	CHEMBL3045295
"Med Chem Res (2009), 18(9), 745-757 (DOI:10.1007/s00044-009-9164-1)"	17	26	65	Manual data extraction	Data standardisation and curation	CHEMBL3045296
"Pest Manag Sci (2009), 65(7), 776-780 (PMID:19319825)"	11	16	176	Manual data extraction	Data standardisation and curation	CHEMBL3045297
"J Agric Food Chem (2010), 58(22), 11832-11836 (PMID:20973548)"	17	3	48	Manual data extraction	Data standardisation and curation	CHEMBL3045298
"Biosci. Biotechnol. Biochem. (1993), 57(6), 884-889 (DOI:10.1271/bbb.57.884)"	8	1	8	Manual data extraction	Data standardisation and curation	CHEMBL3045299
"J Pesticide Sci (2006), 31(2), 156-158 (DOI:10.1584/jpestics.31.156)"	2	2	3	Manual data extraction	Data standardisation and curation	CHEMBL3045300
"Med Chem Res (2012), 21(2), 165-173 (DOI:10.1007/s00044-010-9520-1)"	44	1	44	Manual data extraction	Data standardisation and curation	CHEMBL3045301
"Biosci. Biotechnol. Biochem. (1999), 63(5), 840-846 (DOI:10.1271/bbb.63.840)"	16	3	49	Manual data extraction	Data standardisation and curation	CHEMBL3045302
"Med Chem Res (2012), 21(12), 4412-4421 (DOI:10.1007/s00044-012-9980-6)"	18	7	97	Manual data extraction	Data standardisation and curation	CHEMBL3045303
"J Agric Food Chem (2000), 48(11), 5288-5296 (PMID:11087474)"	19	30	564	Manual data extraction	Data standardisation and curation	CHEMBL3045304
"Med Chem Res (2013), 22(11), 5466-5471 (DOI:10.1007/s00044-013-0541-4)"	7	9	61	Manual data extraction	Data standardisation and curation	CHEMBL3045305
