"Supplementary Table 1: Journal articles included in the data set, showing numbers of compounds and assays extracted from each and ChEMBL document identifiers."						
						
Source	Number compounds	Number assays	Number activities	Protocol 1	Protocol 2	ChEMBL document identifier
"Med Chem Res (2013), 22(12), 5973-5981 (DOI:10.1007/s00044-013-0584-6)"	9	4	36	Manual data extraction	Data standardisation and curation	CHEMBL3044566
"Med Chem Res (2013), 22(8), 3719-3727 (DOI:10.1007/s00044-012-0358-6)"	13	9	117	Manual data extraction	Data standardisation and curation	CHEMBL3044567
"Med Chem Res (2013), 22(1), 340-350 (DOI:10.1007/s00044-012-0037-7)"	14	29	307	Manual data extraction	Data standardisation and curation	CHEMBL3044568
"Crop Protection (2006), 25(8), 890-892 (DOI:10.1016/j.cropro.2005.10.006)"	2	10	10	Manual data extraction	Data standardisation and curation	CHEMBL3044569
"Biochem. Biophys. Res. Commun. (1998), 244(1), 110-114 (PMID:9514851)"	1	3	3	Manual data extraction	Data standardisation and curation	CHEMBL3044570
"J. Biol. Chem. (2010), 285(43), 33445-33456 (PMID:20682786)"	16	16	63	Manual data extraction	Data standardisation and curation	CHEMBL3044571
"Med Chem Res (2012), 21(12), 4177-4192 (DOI:10.1007/s00044-011-9950-4)"	26	39	580	Manual data extraction	Data standardisation and curation	CHEMBL3044572
"Med Chem Res (2013), 22(6), 2902-2911 (DOI:10.1007/s00044-012-0284-7)"	6	13	31	Manual data extraction	Data standardisation and curation	CHEMBL3044573
"J Agric Food Chem (2010), 58(1), 434-440 (PMID:20000567)"	2	10	20	Manual data extraction	Data standardisation and curation	CHEMBL3044574
"Med Chem Res (2013), 22(10), 4953-4963 (DOI:10.1007/s00044-013-0507-6)"	6	6	18	Manual data extraction	Data standardisation and curation	CHEMBL3044575
"Med Chem Res (2013), 22(3), 1172-1183 (DOI:10.1007/s00044-012-0121-z)"	14	7	91	Manual data extraction	Data standardisation and curation	CHEMBL3044576
"Med Chem Res (2011), 20(7), 1102-1110 (DOI:10.1007/s00044-010-9442-y)"	9	17	51	Manual data extraction	Data standardisation and curation	CHEMBL3044577
"J Agric Food Chem (2011), 59(9), 4828-4835 (PMID:21469732)"	26	4	82	Manual data extraction	Data standardisation and curation	CHEMBL3044578
"J Agric Food Chem (2008), 56(21), 9941-9948 (PMID:18922010)"	23	6	44	Manual data extraction	Data standardisation and curation	CHEMBL3044579
"Crop Protection (2011), 30(12), 1535-1540 (DOI:10.1016/j.cropro.2011.08.013)"	8	14	71	Manual data extraction	Data standardisation and curation	CHEMBL3044580
"Chem Pharm Bull (Tokyo) (2001), 49(7), 909-911 (PMID:11456101)"	12	2	24	Manual data extraction	Data standardisation and curation	CHEMBL3044581
"Med Chem Res (2008), 17(9), 604-617 (DOI:10.1007/s00044-008-9101-8)"	12	14	110	Manual data extraction	Data standardisation and curation	CHEMBL3044582
"Med Chem Res (2004), 13(1), 105-114 (DOI:10.1007/s00044-004-0016-8)"	5	3	5	Manual data extraction	Data standardisation and curation	CHEMBL3044583
"Chem Pharm Bull (Tokyo) (2000), 48(4), 509-515 (PMID:10783070)"	18	14	168	Manual data extraction	Data standardisation and curation	CHEMBL3044584
"J Agric Food Chem (2011), 59(22), 12210-12216 (PMID:21992072)"	11	5	17	Manual data extraction	Data standardisation and curation	CHEMBL3044585
"Med Chem Res (2012), 21(10), 2807-2822 (DOI:10.1007/s00044-011-9805-z)"	25	34	201	Manual data extraction	Data standardisation and curation	CHEMBL3044586
"Med Chem Res (2013), 22(9), 4293-4299 (DOI:10.1007/s00044-012-0423-1)"	11	7	40	Manual data extraction	Data standardisation and curation	CHEMBL3044587
"Med Chem Res (2012), 21(5), 543-551 (DOI:10.1007/s00044-011-9569-5)"	11	33	116	Manual data extraction	Data standardisation and curation	CHEMBL3044588
"Crop Protection (2007), 26(12), 1839-1842 (DOI:10.1016/j.cropro.2007.03.013)"	1	11	11	Manual data extraction	Data standardisation and curation	CHEMBL3044589
"J Agric Food Chem (2008), 56(16), 7316-7320 (PMID:18605734)"	22	6	77	Manual data extraction	Data standardisation and curation	CHEMBL3044590
"J Pesticide Sci (1994), 19(4), 305-308 (DOI:10.1584/jpestics.19.4_305)"	16	11	176	Manual data extraction	Data standardisation and curation	CHEMBL3044591
"Med Chem Res (2012), 21(10), 3312-3320 (DOI:10.1007/s00044-011-9879-7)"	8	3	24	Manual data extraction	Data standardisation and curation	CHEMBL3044592
"Med Chem Res (2012), 21(11), 3785-3796 (DOI:10.1007/s00044-011-9914-8)"	12	13	69	Manual data extraction	Data standardisation and curation	CHEMBL3044593
"Biochim. Biophys. Acta (1996), 1273(1), 21-30 (PMID:8573592)"	54	5	270	Manual data extraction	Data standardisation and curation	CHEMBL3044594
"J Agric Food Chem (2009), 57(13), 5707-5712 (PMID:19499920)"	5	10	48	Manual data extraction	Data standardisation and curation	CHEMBL3044595
"J. Nat. Prod. (2008), 71(11), 1897-1901 (PMID:18959441)"	4	11	14	Manual data extraction	Data standardisation and curation	CHEMBL3044596
"Med Chem Res (2013), 22(4), 1730-1739 (DOI:10.1007/s00044-012-0172-1)"	49	1	49	Manual data extraction	Data standardisation and curation	CHEMBL3044597
"J Agric Food Chem (2010), 58(5), 2720-2725 (PMID:20000417)"	3	54	65	Manual data extraction	Data standardisation and curation	CHEMBL3044598
"J Agric Food Chem (2012), 60(17), 4336-4341 (PMID:22500738)"	6	1	6	Manual data extraction	Data standardisation and curation	CHEMBL3044599
"Biochem Syst Ecol (2008), 36(3), 153-166 (DOI:10.1016/jbse.2007.08.015)"	14	14	139	Manual data extraction	Data standardisation and curation	CHEMBL3044600
"Crop Protection (2009), 28(10), 838-844 (DOI:10.1016/j.cropro.2009.06.015)"	1	26	26	Manual data extraction	Data standardisation and curation	CHEMBL3044601
"Med Chem Res (2013), 22(2), 548-557 (DOI:10.1007/s00044-012-0050-x)"	14	3	45	Manual data extraction	Data standardisation and curation	CHEMBL3044602
"Pest Manag Sci (2013), 69(5), 559-563 (PMID:23471898)"	16	8	38	Manual data extraction	Data standardisation and curation	CHEMBL3044603
"Med Chem Res (2011), 20(7), 865-876 (DOI:10.1007/s00044-010-9394-2)"	24	15	192	Manual data extraction	Data standardisation and curation	CHEMBL3044604
"J Am Chem Soc (2010), 132(19), 6719-6727 (PMID:20426416)"	21	1	23	Manual data extraction	Data standardisation and curation	CHEMBL3044605
"Med Chem Res (2010), 19(9), 1287-1295 (DOI:10.1007/s00044-009-9270-0)"	5	6	45	Manual data extraction	Data standardisation and curation	CHEMBL3044606
