assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
916335,70504,"Post-emergence herbicidal activity against Brassica napus (oilseed rape) at 300 g/ha applied through spraying after first true leaf expanded",F,,,"Brassica napus",3708,,,,,101688,N,1,Autocuration,1,535241,CHEMBL3081587,,BAO_0000218,,,CLD0
916336,70504,"Post-emergence herbicidal activity against Brassica napus (oilseed rape) at 1500 g/ha applied through spraying after first true leaf expanded",F,,,"Brassica napus",3708,,,,,101688,N,1,Autocuration,1,535238,CHEMBL3081588,,BAO_0000218,,,CLD0
916337,70504,"Post-emergence herbicidal activity against Amaranthus retroflexus at 75 g/ha applied through spraying after first true leaf expanded",F,,,"Amaranthus retroflexus",124763,,,,,101646,N,1,Autocuration,1,535232,CHEMBL3081589,,BAO_0000218,,,CLD0
916338,70504,"Post-emergence herbicidal activity against Amaranthus retroflexus at 300 g/ha applied through spraying after first true leaf expanded",F,,,"Amaranthus retroflexus",124763,,,,,101646,N,1,Autocuration,1,535231,CHEMBL3081590,,BAO_0000218,,,CLD0
916339,70504,"Post-emergence herbicidal activity against Amaranthus retroflexus at 1500 g/ha applied through spraying after first true leaf expanded",F,,,"Amaranthus retroflexus",124763,,,,,101646,N,1,Autocuration,1,535230,CHEMBL3081591,,BAO_0000218,,,CLD0
916340,70504,"Post-emergence herbicidal activity against Medicago sativa (alfalfa) at 75 g/ha applied through spraying after first true leaf expanded",F,,,"Medicago sativa",3879,,,,,101903,N,1,Autocuration,1,535229,CHEMBL3081592,,BAO_0000218,,,CLD0
916341,70504,"Post-emergence herbicidal activity against Medicago sativa (alfalfa) at 300 g/ha applied through spraying after first true leaf expanded",F,,,"Medicago sativa",3879,,,,,101903,N,1,Autocuration,1,535228,CHEMBL3081593,,BAO_0000218,,,CLD0
916342,70504,"Post-emergence herbicidal activity against Medicago sativa (alfalfa) at 1500 g/ha applied through spraying after first true leaf expanded",F,,,"Medicago sativa",3879,,,,,101903,N,1,Autocuration,1,535226,CHEMBL3081594,,BAO_0000218,,,CLD0
916343,70504,"Pre-emergence herbicidal activity against Brassica napus (oilseed rape) at 1.5 kg/ha applied through spraying immediately after seed plantings",F,,,"Brassica napus",3708,,,,,101688,N,1,Autocuration,1,535221,CHEMBL3082075,,BAO_0000218,,,CLD0
916344,70504,"Pre-emergence herbicidal activity against Amaranthus retroflexus at 1.5 kg/ha applied through spraying immediately after seed plantings",F,,,"Amaranthus retroflexus",124763,,,,,101646,N,1,Autocuration,1,535220,CHEMBL3082076,,BAO_0000218,,,CLD0
916345,70504,"Pre-emergence herbicidal activity against Medicago sativa (alfalfa) at 1.5 kg/ha applied through spraying immediately after seed plantings",F,,,"Medicago sativa",3879,,,,,101903,N,1,Autocuration,1,535219,CHEMBL3082077,,BAO_0000218,,,CLD0
916346,70330,"Pre-emergence herbicidal activity against Eleocharis acicularis at 2000 g a.i/ha measured after 14 days",F,,,"Eleocharis acicularis",280053,,,,,106789,N,1,Autocuration,1,537400,CHEMBL3082078,,BAO_0000218,,,CLD0
916347,70330,"Pre-emergence herbicidal activity against Schoenoplectiella juncoides at 2000 g a.i/ha measured after 14 days",F,,,"Schoenoplectiella juncoides",280076,,,,,107084,N,1,Autocuration,1,537399,CHEMBL3082079,,BAO_0000218,,,CLD0
916348,70330,"Pre-emergence herbicidal activity against Monochoria vaginalis at 2000 g a.i/ha measured after 14 days",F,,,"Monochoria vaginalis",44972,,,,,106960,N,1,Autocuration,1,537398,CHEMBL3082080,,BAO_0000218,,,CLD0
916349,70330,"Pre-emergence herbicidal activity against Ammannia multiflora at 2000 g a.i/ha measured after 14 days",F,,,Ammannia,162021,,,,,107334,N,1,Autocuration,1,537397,CHEMBL3082081,,BAO_0000218,,,CLD0
